,features,Importance,interaction_a,main_features,Question,Answer option
0,Relationship_3:Smart_Phone_Q1_feat2,0.14011316593770995,Relationship_3,Smart_Phone_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Phone,"Touch-based interaction (e.g, through scrolling, tapping)  "
6,Relationship_1:Smart_Phone_Q9_feat3,0.11540609408261154,Relationship_1,Smart_Phone_Q9_feat3,How does your Smart_Phone help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
12,Relationship_2:Smart_Phone_Q10_feat3,0.09328427503598104,Relationship_2,Smart_Phone_Q10_feat3,How does Smart_Phone provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   
1,location_1:Smart_Phone_Q1_feat2,0.08964349729994707,location_1,Smart_Phone_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Phone,"Touch-based interaction (e.g, through scrolling, tapping)  "
18,location_3:Smart_Phone_Q2_feat5,0.0605910213864134,location_3,Smart_Phone_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Smart_Phone while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  
24,Relationship_1:Q9_feat3,0.05480109910506183,Relationship_1,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   
30,location_1:Q5_feat1,0.04741952233005164,location_1,Q5_feat1,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   
36,location_3:Smart_Phone_Q4_feat1,0.044216167889665016,location_3,Smart_Phone_Q4_feat1,Which aspects of mobility does Smart_Phone  provide as you perform this task?,I can move around while performing the task   
42,location_2:Q6_feat3,0.029756746893241426,location_2,Q6_feat3,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  
48,Relationship_3:Smart_Phone_Q13_feat4,0.029399026735822183,Relationship_3,Smart_Phone_Q13_feat4,Which of the additional artifacts do you connect/download on your Smart_Phone,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  
54,Relationship_2:Smart_Phone_Q11_feat2,0.02424938663283736,Relationship_2,Smart_Phone_Q11_feat2,Which of the following design components on your Smart_Phone help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  "
37,location_2:Smart_Phone_Q4_feat1,0.020273018779992158,location_2,Smart_Phone_Q4_feat1,Which aspects of mobility does Smart_Phone  provide as you perform this task?,I can move around while performing the task   
