scenario,Location,Relationship
"<span id=""docs-internal-guid-5a7e3441-7fff-9d1f-10e6-454a1d940975""><span style=""font-size: 11pt; font-family: Arial; color: rgb(0, 0, 0); background-color: transparent; font-variant-numeric: normal; font-variant-east-asian: normal; vertical-align: baseline; white-space: pre-wrap;"">Suppose you want to call your mother for sharing an important update about your life  when you are alone at home</span><br> <br><br></span>",1,1
"<span lang=""EN-GB"">Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.<o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you want to call your mother for sharing an important update about your life when you are alone at Starbucks.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you want to call your mother for sharing an important update about your life when you are with a very close friend at a restaurant <o:p></o:p></span>",2,2
"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.<o:p></o:p>",2,3
"<span lang=""EN-GB"">Suppose you want to call your mother for sharing an important update about your life when you are alone at a park<o:p></o:p></span>",3,1
"<span lang=""EN-GB"">Suppose you want to call your mother for sharing an important update about your life yourself when you are with a very close friend at a park. <o:p></o:p></span>",3,2
"<span lang=""EN-GB"">Suppose you want to call your mother for sharing an important update about your life when you with people you know (e.g., acquaintances, colleagues) at a park<o:p></o:p></span>",3,3
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want put this on your calendar when you are alone at home<strong><o:p></o:p></strong></span>",1,1
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded with people you are close to (e.g., friends, family members) at your home.<strong><o:p></o:p></strong></span>",1,2
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want to put this on your calendar </span><span lang=""EN-GB"">when</span><span lang=""EN-GB""> you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.</span><span lang=""EN-GB""><o:p></o:p></span>",1,3
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are alone at Starbucks.<o:p></o:p></span>",2,1
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are with a very close friend at a restaurant <o:p></o:p></span>",2,2
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.<o:p></o:p></span>",2,3
"<span lang=""EN-GB"">Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are alone at a park<o:p></o:p></span>",3,1
