,features,Importance,Question,Answer option
0,Smart Watch_Q3_feat3,0.13945868945868947,Which  aspects of Smart Watch makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
1,Smart Watch_Q11_feat2,0.1279112379128261,Which of the following design components on your Smart Watch help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  "
2,Smart Watch_Q10_feat2,0.09760166516569796,How does Smart Watch provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses
3,Smart Watch_Q1_feat2,0.08891380654193631,Which of the following type of interactions do you use while executing a command on Smart Watch,"Touch-based interaction (e.g, through scrolling, tapping)  "
4,Smart Watch_Q6_feat1,0.06547815627270161,When does your Smart Watch give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task
5,Smart Watch_Q4_feat1,0.06545674773133793,Which aspects of mobility does Smart Watch  provide as you perform this task?,I can move around while performing the task   
6,Smart Watch_Q7_feat5,0.05947806886946828,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Watch?,Building trust is not essential for using this device for this task or is not provided by the device 
7,Smart Watch_Q9_feat3,0.04706922027518299,How does your Smart Watch help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
8,Smart Watch_Q3_feat2,0.041033908221408184,Which  aspects of Smart Watch makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
9,Smart Watch_Q12_feat5,0.03965160199773866,Which of these maintenance features in Smart Watch affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  
10,Smart Watch_Q2_feat5,0.03608070863505647,"How do you multitask (i.e.,use other functionalities) on Smart Watch while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  
11,Smart Watch_Q12_feat1,0.026714834590502026,Which of these maintenance features in Smart Watch affect you as you perform this task on it?,Amount of battery life and impact of performing the task on battery life   
12,Smart Watch_Q13_feat1,0.02504894762604013,Which of the additional artifacts do you connect/download on your Smart Watch to execute the task,"Physical hardware (e.g., keyboard, screen, headphones, speakers)  "
13,Smart Watch_Q8_feat5,0.019354925443008337,What level of personalized communication does your Smart Watch provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  
14,Smart Watch_Q4_feat3,0.014910207494310738,Which aspects of mobility does Smart Watch  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device
15,Smart Watch_Q13_feat4,0.012442878599047712,Which of the additional artifacts do you connect/download on your Smart Watch,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  
16,Smart Watch_Q8_feat3,0.00918086089654718,What level of personalized communication does your Smart Watch provide while performing this task?,"Based on my current activities and surroundings it recommends additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task)"
17,Smart Watch_Q13_feat2,0.006637729150818165,Which of the additional artifacts do you connect/download on your Smart Watch,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  "
18,location_2,0.006522133453313229,Scenario location,"Semi private places (resturants, coffee shop etc)"
19,Smart Watch_Q3_feat1,0.005506880506880506,Which  aspects of Smart Watch makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.
20,Relationship_3,0.004172301983631571,Scenario relation,weak ties
21,Q3_feat4,0.0038097498794818657,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. 
22,Smart Watch_Q5_feat1,0.0037318815056338658,What level of accuracy does your Smart Watch provide when executing the task?,It executes the task without any errors   
23,Smart Watch_Q10_feat3,0.003691206136858313,How does Smart Watch provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   
24,location_3,0.0034115183147642547,Scenario location,"Public (park, street etc)"
25,Q10_feat4,0.003396224839411811,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through notifications/reminders on other synced/connected device  
26,Relationship_2,0.003104842904702455,Scenario relation,strong ties
27,Q4_feat3,0.0028836182164705217,What aspects of mobility do you expect to have for performing this task?,Mobility of the device does not matter to me in this task
28,Q3_feat3,0.00224328963795256,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  "
29,Q5_feat1,0.0019506866416978774,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   
30,Smart Watch_Q6_feat4,0.0018761931745357066,When does your Smart Watch give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  
31,Smart Watch_Q9_feat2,0.001876193174535706,How does your Smart Watchhelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them
32,Smart Watch_Q12_feat2,0.0018556883310981594,Which of these maintenance features in Smart Watch affect you as you perform this task on it,Need of updating any software while/before performing the task  
33,Q9_feat1,0.0016959681292408784,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A tooltip that explains the functionality of a widget on the device  
34,Smart Watch_Q5_feat3,0.0016507012327214234,What level of accuracy does your Smart Watch provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
35,Q12_feat3,0.0016500128066666065,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Ease of recovery of data and task related information in case of any hardware/software malfunction  
36,Q8_feat5,0.0015130325874707893,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device
37,Q8_feat2,0.0013275506311554994,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Customizability of features based on current context and past interactions (e.g., sorting notifications by relevance)   "
38,Q8_feat1,0.0013004577611319182,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Device(s) should be able to communicate with me through informal/human-like responses or notifications  
39,Q12_feat2,0.0013004577611319182,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Need and effect of any software updates while/before performing the task  
40,Q9_feat4,0.0011950869478915712,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A voice assistant that can help me in understanding how to use appropriate features to perform the task  
41,Q5_feat4,0.0011338713449356374,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command) "
42,Q1_feat1,0.001122747936924007,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  
43,Q5_feat3,0.0010981487246884043,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,"The device(s) can make some errors, but it should try to correct itself by learning from my previous actions or more interactions with me.  "
44,Q1_feat4,0.0010199234069786505,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard 
45,Q9_feat2,0.0009753433208489387,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   
46,Q1_feat2,0.0009753433208489387,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  "
47,Q1_feat3,0.0009753433208489387,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction with a digital pen/Stylus  
48,Q10_feat2,0.0009753433208489387,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through audio/voice based notifications/responses   
49,Q2_feat2,0.0007398663442832362,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through voice-based input 
50,Q8_feat3,0.000724179081252971,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Based on my current activities and surroundings device(s) should recommend  additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task) "
51,Q1_feat5,0.0007117528221179631,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using virtual/digital keyboard on a screen 
52,Q6_feat1,0.0006437265917602988,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Only at the beginning for providing first set of commands or information  
53,Q13_feat4,0.0005201831044527676,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.
54,Relationship_1,0.0004249710183698947,Scenario relation,alone
55,Q12_feat1,0.0003920040141211045,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?</,Amount of battery life and impact of performing the task on battery life   
56,Q2_feat5,0.0003680054306323197,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",I would not like to multitask while performing this tas
57,Q7_feat1,0.0003675815418127643,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,To be able to define who has access to my information  
58,Q6_feat4,0.0003444830165687413,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,When a device gives an option of providing or changing any task related information is not relevant while performing this task  
59,Q10_feat6,0.0003296885611960525,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"As long as feedback is unambiguous and easy to follow, mode of feedback does not matter to me.   "
60,Q7_feat5,0.0003251144402829795,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  
61,Q2_feat3,0.00031074719940199947,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  
