,features,Importance,Question,Answer option
0,Tablet_Q1_feat2,0.12016410239922665,Which of the following type of interactions do you use while executing a command on Tablet,"Touch-based interaction (e.g, through scrolling, tapping)  "
1,Tablet_Q5_feat1,0.1127359912118762,What level of accuracy does your Tablet provide when executing the task?,It executes the task without any errors   
2,Tablet_Q10_feat3,0.11129769655134604,How does Tablet provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   
3,Tablet_Q11_feat2,0.10783865096595137,Which of the following design components on your Tablet help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  "
4,Tablet_Q13_feat4,0.053842055949426516,Which of the additional artifacts do you connect/download on your Tablet,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  
5,Tablet_Q9_feat3,0.05177130689754356,How does your Tablet help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
6,Tablet_Q3_feat3,0.05119328017253612,Which  aspects of Tablet makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
7,Tablet_Q3_feat2,0.050390675156451216,Which  aspects of Tablet makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
8,Tablet_Q8_feat5,0.049740772968294336,What level of personalized communication does your Tablet provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  
9,Tablet_Q11_feat1,0.036028421247259544,Which of the following design components on your Tablet help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    "
10,Tablet_Q8_feat2,0.026313068362564567,What level of personalized communication does your Tablet provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  "
11,Tablet_Q2_feat1,0.023975337878291283,"How do you multitask (i.e.,use other functionalities) on Tablet while executing this task?",I use/view another application using touch-based input
12,Tablet_Q1_feat5,0.020460179783236568,Which of the following type of interactions do you use while executing a command on Tablet,Text-based interaction using virtual/digital keyboard on a screen  
13,Tablet_Q4_feat1,0.015083609908155719,Which aspects of mobility does Tablet  provide as you perform this task?,I can move around while performing the task   
14,Tablet_Q1_feat7,0.010311302536501437,Which of the following type of interactions do you use while executing a command on Tablet?,The input modality does not matter to me or is not provided by the device  
15,Tablet_Q7_feat5,0.009408702230508744,Which of the following features help you in reaching the desired level of trust to perform this task on Tablet?,Building trust is not essential for using this device for this task or is not provided by the device 
16,Tablet_Q2_feat5,0.008700290664496197,"How do you multitask (i.e.,use other functionalities) on Tablet while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  
17,Tablet_Q1_feat3,0.008525133922054734,Which of the following type of interactions do you use while executing a command on Tablet,Text-based interaction with a digital pen/Stylus  
18,Tablet_Q12_feat5,0.005500183339444646,Which of these maintenance features in Tablet affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  
19,Q2_feat1,0.00472164609775006,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through touch-based input   
20,location_1,0.004600211700657782,Scenario location,Home
21,Tablet_Q11_feat5,0.004419031421219043,Which of the following design components on your Tablet help you to develop an intuition before you decide how to complete this task,I do not need the device to help me in deciding the best way to perform a task or is not provided by the device  
22,Q12_feat1,0.0043457916129671864,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?</,Amount of battery life and impact of performing the task on battery life   
23,Q3_feat2,0.004121646339630701,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.
24,Q6_feat4,0.003443448664887421,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,When a device gives an option of providing or changing any task related information is not relevant while performing this task  
25,Q7_feat5,0.0033341675692228627,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  
26,Tablet_Q13_feat2,0.003329841103970555,Which of the additional artifacts do you connect/download on your Tablet,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  "
