,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
0,location_1:Tablet_Q5_feat1,87.32824427480917,location_1,Tablet_Q5_feat1,What level of accuracy does your Tablet provide when executing the task?,It executes the task without any errors   ,Scenario location,Home
1,location_1:Tablet_Q1_feat2,83.96946564885495,location_1,Tablet_Q1_feat2,Which of the following type of interactions do you use while executing a command on Tablet,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,Home
2,location_1:Tablet_Q10_feat3,78.93129770992367,location_1,Tablet_Q10_feat3,How does Tablet provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario location,Home
3,location_1:Tablet_Q11_feat2,78.93129770992367,location_1,Tablet_Q11_feat2,Which of the following design components on your Tablet help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario location,Home
4,location_1:Tablet_Q9_feat3,73.89312977099237,location_1,Tablet_Q9_feat3,How does your Tablet help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario location,Home
112,Relationship_1:Tablet_Q5_feat1,70.53435114503816,Relationship_1,Tablet_Q5_feat1,What level of accuracy does your Tablet provide when executing the task?,It executes the task without any errors   ,Scenario relation,alone
5,location_1:Tablet_Q3_feat3,65.49618320610688,location_1,Tablet_Q3_feat3,Which  aspects of Tablet makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario location,Home
114,Relationship_1:Tablet_Q10_feat3,65.49618320610688,Relationship_1,Tablet_Q10_feat3,How does Tablet provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,alone
6,location_1:Tablet_Q4_feat1,63.81679389312978,location_1,Tablet_Q4_feat1,Which aspects of mobility does Tablet  provide as you perform this task?,I can move around while performing the task   ,Scenario location,Home
115,Relationship_1:Tablet_Q11_feat2,63.81679389312978,Relationship_1,Tablet_Q11_feat2,Which of the following design components on your Tablet help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,alone
225,Relationship_2:Tablet_Q1_feat2,62.13740458015268,Relationship_2,Tablet_Q1_feat2,Which of the following type of interactions do you use while executing a command on Tablet,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario relation,strong ties
