,features,Importance,interaction_a,main_features,Question,Answer option
0,Relationship_1:Smart_Watch_Q11_feat2,0.2869543650793652,Relationship_1,Smart_Watch_Q11_feat2,Which of the following design components on your Smart_Watch help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  "
6,Relationship_2:Smart_Watch_Q9_feat3,0.2557285617499031,Relationship_2,Smart_Watch_Q9_feat3,How does your Smart_Watch help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
12,Relationship_3:Smart_Watch_Q7_feat5,0.187455242428072,Relationship_3,Smart_Watch_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Watch?,Building trust is not essential for using this device for this task or is not provided by the device 
7,Relationship_3:Smart_Watch_Q9_feat3,0.10274953127741901,Relationship_3,Smart_Watch_Q9_feat3,How does your Smart_Watch help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
18,Relationship_2:Smart_Watch_Q3_feat3,0.03651192175782346,Relationship_2,Smart_Watch_Q3_feat3,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
24,Relationship_1:Smart_Watch_Q9_feat6,0.03573091808385929,Relationship_1,Smart_Watch_Q9_feat6,How does your Smart_Watch help you understand the features that you use to perform this task?  ,The assistance provided by the device to understand its features does not matter as I  use it for this task or is not provided by the device  
30,location_2:Smart_Watch_Q10_feat2,0.018761931745357063,location_2,Smart_Watch_Q10_feat2,How does Smart_Watch provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses
36,location_1:Smart_Watch_Q3_feat2,0.018556883310981598,location_1,Smart_Watch_Q3_feat2,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
42,location_2:Q12_feat3,0.01733943681509224,location_2,Q12_feat3,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Ease of recovery of data and task related information in case of any hardware/software malfunction  
48,Relationship_2:Q12_feat2,0.013004577611319184,Relationship_2,Q12_feat2,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Need and effect of any software updates while/before performing the task  
54,Relationship_1:Q6_feat4,0.009753433208489388,Relationship_1,Q6_feat4,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,When a device gives an option of providing or changing any task related information is not relevant while performing this task  
60,location_2:Q3_feat4,0.007813175737881213,location_2,Q3_feat4,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. 
66,location_1:Q1_feat3,0.007802746566791516,location_1,Q1_feat3,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction with a digital pen/Stylus  
72,Relationship_1:Q10_feat4,0.0018372746276457009,Relationship_1,Q10_feat4,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through notifications/reminders on other synced/connected device  
448,Relationship_2:Smart_Watch_Q3_feat4,0.0,Relationship_2,Smart_Watch_Q3_feat4,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  
456,location_1:Smart_Watch_Q4_feat1,0.0,location_1,Smart_Watch_Q4_feat1,Which aspects of mobility does Smart_Watch  provide as you perform this task?,I can move around while performing the task   
455,Relationship_3:Smart_Watch_Q3_feat6,0.0,Relationship_3,Smart_Watch_Q3_feat6,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
454,Relationship_2:Smart_Watch_Q3_feat6,0.0,Relationship_2,Smart_Watch_Q3_feat6,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
458,location_3:Smart_Watch_Q4_feat1,0.0,location_3,Smart_Watch_Q4_feat1,Which aspects of mobility does Smart_Watch  provide as you perform this task?,I can move around while performing the task   
453,Relationship_1:Smart_Watch_Q3_feat6,0.0,Relationship_1,Smart_Watch_Q3_feat6,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
