,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
0,location_3:Smart_Phone_Q4_feat1,53.886554621848724,location_3,Smart_Phone_Q4_feat1,Which aspects of mobility does Smart_Phone  provide as you perform this task?,I can move around while performing the task   ,Scenario location,"Public (park, street etc)"
1,location_3:Smart_Phone_Q1_feat2,47.42016806722689,location_3,Smart_Phone_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Phone,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,"Public (park, street etc)"
2,location_3:Smart_Phone_Q5_feat1,45.983193277310924,location_3,Smart_Phone_Q5_feat1,What level of accuracy does your Smart_Phone provide when executing the task?,It executes the task without any errors   ,Scenario location,"Public (park, street etc)"
3,location_3:Smart_Phone_Q11_feat2,45.264705882352935,location_3,Smart_Phone_Q11_feat2,Which of the following design components on your Smart_Phone help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario location,"Public (park, street etc)"
112,Relationship_1:Smart_Phone_Q4_feat1,43.82773109243696,Relationship_1,Smart_Phone_Q4_feat1,Which aspects of mobility does Smart_Phone  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,alone
224,location_2:Smart_Phone_Q4_feat1,43.10924369747899,location_2,Smart_Phone_Q4_feat1,Which aspects of mobility does Smart_Phone  provide as you perform this task?,I can move around while performing the task   ,Scenario location,"Semi private places (resturants, coffee shop etc)"
336,Relationship_2:Smart_Phone_Q4_feat1,43.10924369747899,Relationship_2,Smart_Phone_Q4_feat1,Which aspects of mobility does Smart_Phone  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,strong ties
226,location_2:Smart_Phone_Q5_feat1,41.672268907563016,location_2,Smart_Phone_Q5_feat1,What level of accuracy does your Smart_Phone provide when executing the task?,It executes the task without any errors   ,Scenario location,"Semi private places (resturants, coffee shop etc)"
113,Relationship_1:Smart_Phone_Q1_feat2,40.95378151260505,Relationship_1,Smart_Phone_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Phone,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario relation,alone
225,location_2:Smart_Phone_Q1_feat2,40.95378151260505,location_2,Smart_Phone_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Phone,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,"Semi private places (resturants, coffee shop etc)"
