,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
0,location_1:Smart_Speaker_Q10_feat2,181.22,location_1,Smart_Speaker_Q10_feat2,How does Smart_Speaker provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario location,Home
1,location_1:Smart_Speaker_Q13_feat4,176.8,location_1,Smart_Speaker_Q13_feat4,Which of the additional artifacts do you connect/download on your Smart_Speaker,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario location,Home
2,location_1:Smart_Speaker_Q1_feat1,163.54,location_1,Smart_Speaker_Q1_feat1,Which of the following type of interactions do you use while executing a command on Smart_Speaker,Voice-based interaction  ,Scenario location,Home
3,location_1:Smart_Speaker_Q12_feat5,163.54,location_1,Smart_Speaker_Q12_feat5,Which of these maintenance features in Smart_Speaker affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  ,Scenario location,Home
4,location_1:Smart_Speaker_Q9_feat4,159.12,location_1,Smart_Speaker_Q9_feat4,How does your Smart_Speaker help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task ,Scenario location,Home
5,location_1:Smart_Speaker_Q3_feat4,154.70000000000005,location_1,Smart_Speaker_Q3_feat4,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  ,Scenario location,Home
6,location_1:Smart_Speaker_Q11_feat3,154.70000000000005,location_1,Smart_Speaker_Q11_feat3,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  ,Scenario location,Home
7,location_1:Smart_Speaker_Q7_feat5,137.01999999999998,location_1,Smart_Speaker_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario location,Home
8,location_1:Smart_Speaker_Q2_feat5,132.6,location_1,Smart_Speaker_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Smart_Speaker while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,Scenario location,Home
9,location_1:Smart_Speaker_Q5_feat3,128.18,location_1,Smart_Speaker_Q5_feat3,What level of accuracy does your Smart_Speaker provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  ",Scenario location,Home
10,location_1:Smart_Speaker_Q6_feat2,123.76,location_1,Smart_Speaker_Q6_feat2,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.,Scenario location,Home
11,location_1:Smart_Speaker_Q6_feat1,106.07999999999998,location_1,Smart_Speaker_Q6_feat1,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task,Scenario location,Home
12,location_1:Smart_Speaker_Q4_feat3,97.24,location_1,Smart_Speaker_Q4_feat3,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario location,Home
13,location_1:Smart_Speaker_Q4_feat1,88.4,location_1,Smart_Speaker_Q4_feat1,Which aspects of mobility does Smart_Speaker  provide as you perform this task?,I can move around while performing the task   ,Scenario location,Home
112,Relationship_1:Smart_Speaker_Q10_feat2,83.98000000000002,Relationship_1,Smart_Speaker_Q10_feat2,How does Smart_Speaker provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario relation,alone
14,location_1:Smart_Speaker_Q8_feat2,83.98000000000002,location_1,Smart_Speaker_Q8_feat2,What level of personalized communication does your Smart_Speaker provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  ",Scenario location,Home
15,location_1:Q10_feat2,79.7698710834116,location_1,Q10_feat2,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through audio/voice based notifications/responses   ,Scenario location,Home
114,Relationship_1:Smart_Speaker_Q1_feat1,79.56,Relationship_1,Smart_Speaker_Q1_feat1,Which of the following type of interactions do you use while executing a command on Smart_Speaker,Voice-based interaction  ,Scenario relation,alone
118,Relationship_1:Smart_Speaker_Q11_feat3,79.56,Relationship_1,Smart_Speaker_Q11_feat3,Which of the following design components on your Smart_Speaker help you to develop an intuition before you decide how to complete this task,As the device does not have a screen it provides me relevant information through voice-based instructions  ,Scenario relation,alone
113,Relationship_1:Smart_Speaker_Q13_feat4,79.56,Relationship_1,Smart_Speaker_Q13_feat4,Which of the additional artifacts do you connect/download on your Smart_Speaker,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  ,Scenario relation,alone
16,location_1:Smart_Speaker_Q5_feat4,79.56,location_1,Smart_Speaker_Q5_feat4,What level of accuracy does your Smart_Speaker provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  ",Scenario location,Home
17,location_1:Q13_feat4,76.13121475809257,location_1,Q13_feat4,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.,Scenario location,Home
116,Relationship_1:Smart_Speaker_Q9_feat4,75.14,Relationship_1,Smart_Speaker_Q9_feat4,How does your Smart_Speaker help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task ,Scenario relation,alone
18,location_1:Smart_Speaker_Q5_feat2,75.14,location_1,Smart_Speaker_Q5_feat2,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  ,Scenario location,Home
117,Relationship_1:Smart_Speaker_Q3_feat4,75.14,Relationship_1,Smart_Speaker_Q3_feat4,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  ,Scenario relation,alone
