,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
0,location_1:Laptop_Q10_feat3,0.2763882334434481,location_1,Laptop_Q10_feat3,How does Laptop provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario location,Home
225,location_2:Laptop_Q4_feat3,0.13323199171075756,location_2,Laptop_Q4_feat3,Which aspects of mobility does Laptop  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario location,"Semi private places (resturants, coffee shop etc)"
450,Relationship_1:Laptop_Q9_feat2,0.1032290654728626,Relationship_1,Laptop_Q9_feat2,How does your Laptophelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,Scenario relation,alone
563,Relationship_2:Laptop_Q9_feat1,0.06416220362580527,Relationship_2,Laptop_Q9_feat1,How does your Laptop help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.,Scenario relation,strong ties
228,location_2:Laptop_Q5_feat1,0.05999620671826561,location_2,Laptop_Q5_feat1,What level of accuracy does your Laptop provide when executing the task?,It executes the task without any errors   ,Scenario location,"Semi private places (resturants, coffee shop etc)"
117,Relationship_3:Laptop_Q1_feat2,0.05751360506095815,Relationship_3,Laptop_Q1_feat2,Which of the following type of interactions do you use while executing a command on Laptop,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario relation,weak ties
5,location_1:Laptop_Q1_feat2,0.04268559532144288,location_1,Laptop_Q1_feat2,Which of the following type of interactions do you use while executing a command on Laptop,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,Home
112,Relationship_3:Laptop_Q10_feat3,0.04145723286614948,Relationship_3,Laptop_Q10_feat3,How does Laptop provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,weak ties
6,location_1:Laptop_Q6_feat4,0.03285351999459371,location_1,Laptop_Q6_feat4,When does your Laptop give you an option of providing or changing any task related information to perform this task?,Having such options from the device while performing are not essential to me while using this device or is not provided by the device.  ,Scenario location,Home
343,location_3:Laptop_Q8_feat5,0.023002202277583605,location_3,Laptop_Q8_feat5,What level of personalized communication does your Laptop provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario location,"Public (park, street etc)"
568,Relationship_2:Laptop_Q4_feat1,0.02265499922433704,Relationship_2,Laptop_Q4_feat1,Which aspects of mobility does Laptop  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,strong ties
345,location_3:Laptop_Q9_feat6,0.02231559848689385,location_3,Laptop_Q9_feat6,How does your Laptop help you understand the features that you use to perform this task?  ,The assistance provided by the device to understand its features does not matter as I  use it for this task or is not provided by the device  ,Scenario location,"Public (park, street etc)"
234,location_2:Q9_feat3,0.0116956674725599,location_2,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   ,Scenario location,"Semi private places (resturants, coffee shop etc)"
11,location_1:Laptop_Q12_feat3,0.011633806151931641,location_1,Laptop_Q12_feat3,Which of these maintenance features in Laptop affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. ,Scenario location,Home
460,Relationship_1:Q11_feat1,0.010740919107452977,Relationship_1,Q11_feat1,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  ",Scenario relation,alone
237,location_2:Q2_feat3,0.008354048194685645,location_2,Q2_feat3,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  ,Scenario location,"Semi private places (resturants, coffee shop etc)"
