,scenario,count
0,"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at Starbucks",11
1,Suppose you want to a send a text message when you are alone at Starbucks.,9
2,Suppose you want to read a digital document when you are at Starbucks.,9
3,"Suppose you want to read a digital document when you are at home with people you are close to (e.g., friends, family members).",9
4,"Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at a park.",9
5,Suppose you want to a send a text message when you are alone at home,9
6,Suppose you are at sitting in a park and you want to play a digital/online game with some close friends.,8
7,Suppose you want to a send an email when you are walking with a very close friend on a street.,8
8,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded with people you are close to (e.g., friends, family members)at your home.",8
9,"Suppose you want to read a digital document when you are in a park with people you know (e.g., acquaintances, colleagues).",8
10,"Suppose you want to find a route to home when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",8
11,Suppose you want to check your social media status when you are at Starbucks.,8
12,Suppose you want to browse the internet when you alone at a park.,8
13,Suppose you want to purchase something online when you are alone at Starbucks.,8
14,"Suppose you want to take a click a photo when you are with people you are close to (e.g., friends, family members) at home",8
15,"Suppose you want to listen to some audio when you with people you know (e.g., acquaintances, colleagues) at Starbucks",8
16,Suppose you are at a park with your close friends and you realize today is the last day to pay one of your bills online.,8
17,Suppose you have planned to meet a friend next week and you want put this on your calendar when you are alone at home,8
18,Suppose you want to browse the internet when you are with your close friends at a park.,8
19,Suppose you want to purchase something online when you are with your close friends at Starbucks.,8
20,Suppose you want to read a digital document when you are at a park.,7
21,Suppose you want to call your mother for sharing an important update about your life yourself when you are with a very close friend at a park.,7
22,Suppose you are at a park and you realize today is the last day to pay one of your bills online.,7
23,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",7
24,"Suppose you are alone and relaxing at home, you have just read a new book that you loved and now you want a write a review for your close family and friends.",7
25,"Suppose you want to a view a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",7
26,Suppose you want to listen to some audio when you are with your friends at Starbucks.,7
