,scenario,count
0,"Suppose
     you want to purchase something online when you are with your close friends
     at Starbucks.",8
1,"Suppose you want to check your social media status
     when you are at Starbucks.",7
2,"Suppose
     you are at a park with your close friends and you realize today is the
     last day to pay one of your bills online.",7
3,Suppose you want to a send an email when you are walking with a very close friend on a street. ,7
4,"Suppose
     you want to call your mother for sharing an important update about your
     life when you are surrounded by people you
     know (e.g., acquaintances, colleagues) at a restaurant.",6
5,"Suppose
     you want to a send a text message when you are alone at home",6
6,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded with people you are close to (e.g., friends, family members)at your home.",6
7,"Suppose you want to browse the internet when you are with people you know (e.g., acquaintances, colleagues) at a park.",5
8,"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at Starbucks",5
9,"Suppose you want to purchase something online when
     you are with people you know (e.g., acquaintances,
     colleagues) at a park.",5
10,Suppose you want to find a route to home while walking on a street with your close friends.,5
11,Suppose you are at sitting in a park and you want to play a digital/online game with some close friends.,5
12,"Suppose
     you want to read a digital document when you are at Starbucks.",5
13,"Suppose
     you want to a view a text message when you with people you know (e.g.,
     acquaintances, colleagues) at a street.",5
14,Suppose you want to browse the internet when you are with your close friends at a park.,5
15,"Suppose
     you are at a park and you realize today is the last day to pay one of your
     bills online.",5
16,"Suppose
     you want to find a route to home when you are at Starbucks with people you
     know (e.g., acquaintances, colleagues).",4
17,"Suppose
     you want to listen to some audio when you are at home with people you are
     close to (e.g., friends, family members).",4
18,"Suppose
     you want to purchase something online when you are alone at a park.",4
19,"Suppose
     you want to a send an email when you are walking on a street with people
     you know (e.g., acquaintances, colleagues).",4
20,"Suppose
     you want to call your mother for sharing an important update about your
     life yourself when you are with a very close friend at a park. ",4
21,"Suppose
     you want to call your mother for sharing an important update about your
     life when you are with a very close friend at a restaurant ",4
22,"Suppose
     you want to a send an email when you are walking on a street.",4
23,Suppose you want to take a click a photo when you are with your close friends and family members at Starbucks,4
24,"Suppose
     you want to set up a reminder when you are with people you know (e.g.,
     acquaintances, colleagues) at your home.",4
25,"Suppose you want to take a click a photo when you with some people you know (e.g.,
     acquaintances, colleagues) at home",4
26,"Suppose you want to a
send an email when you are alone at home",4
27,"Suppose
     you want to set up a reminder when you with people you know (e.g.,
     acquaintances, colleagues) at a park.",4
28,"Suppose
     you want to call your mother for sharing an important update about your
     life  when you are alone at a park",4
29,"Suppose you want to a send an email when you are surrounded with people you are close to (e.g., friends, family members) at your home.",4
30,"Suppose
     you want to listen to some audio when you are with your friends at
     Starbucks.",4
31,"Suppose you are alone and relaxing at home, you have just read a new book that you loved and now you want a write a review for your close family and friends.",4
32,"Suppose
     you want to set up a reminder about something when you are at Starbucks by
     yourself.",4
33,"Suppose you want to a
send a text message when you are alone at Starbucks.",4
34,"Suppose you are alone at home, you want to take a break from studying/working so you decide to play an online/digital game with some close friends .",4
35,Suppose you want to read a digital document when you are in a park surrounded by your close friends.,3
36,Suppose you want to listen to some audio when you are alone in a park.,3
37,"Suppose
     you want to watch some video when you are with your close friends in a
     park.",3
38,Suppose you want to browse through one of your social media profiles when you are at your home.,3
39,"Suppose
     you want to a send an email when you are surrounded by people you know
     (e.g., acquaintances, colleagues) your home.",3
40,"Suppose you want to read a digital document when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",3
41,"Suppose
     you want to purchase something online when you are with people you are
     close to (e.g., friends, family members).",3
42,"Suppose
     you want to take a click a photo when you are alone at home.",3
43,Suppose you are on a short vacation alone and you want to take a picture in front of an iconic monument.,3
44,"Suppose
     you want to listen to some audio when you are alone at your home.",3
45,Suppose you want to browse the internet when you alone at a park.,3
46,"Suppose
     you want to purchase something online when you are alone at Starbucks.",3
47,Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are with a very close friend at a restaurant ,3
48,"Suppose
     you want to purchase something online when you are alone at your home.",3
49,Suppose you are at sitting at Starbucks and you want to play a digital/online game.,3
50,Suppose you want to set up a reminder when you are at a park with close friends.,3
51,"Suppose you are at a park with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.",3
52,"Suppose you are at work with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.",3
53,Suppose you want to browse the internet when you are alone at a restaurant.,3
54,"Suppose
     you want to listen to some audio when you with people you know (e.g.,
     acquaintances, colleagues) at Starbucks",3
55,"Suppose
     you want to watch some video when you are alone at Starbucks.",3
56,Suppose you want to read a digital document when you are at a park.,3
57,"Suppose
     you want to set up a reminder when you are at a park by yourself.",3
58,"Suppose
     you want to a send a text message when you are with a very close friend at
     a restaurant ",3
59,"Suppose you want to find a route to a coffee shop
     when you are at home with your by your colleagues",3
60,"Suppose
     you are at home with some people you know (e.g., acquaintances,
     colleagues) when you realize today is the last day to pay one of your
     bills online.",3
61,"Suppose you want to read a digital document when you are in a park with people you know (e.g., acquaintances, colleagues).",3
62,"Suppose you want to
read a digital document when you are at Starbucks surrounded with your close
friends.",3
63,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",3
64,Suppose you want to a view a text message when you are alone at a street.,3
65,"Suppose
     you want to watch some video when you are with people you know (e.g.,
     acquaintances, colleagues) in a park.",3
66,Suppose you are at Starbucks with your close friends and you realize today is the last day to pay one of your bills online.,3
67,"Suppose
     you want to read a digital document when you are at home with people you
     are close to (e.g., friends, family members).",3
68,"Suppose you want to control some devices/appliances (e.g., smart lights) when you are at home with people you are close to (e.g., friends, family members)",3
69,Suppose you are alone at home when you realize today is the last day to pay one of your bills online.,2
70,"Suppose
     you want  to a send a text message
     when you are walking with a very close friend on a street",2
71,"Suppose you want to a
view a text message when you are alone at home",2
72,"Suppose you have
planned to meet a friend next week and you want put this on your calendar when you with people you know (e.g.,
acquaintances, colleagues) at a park",2
73,"Suppose
     you want to listen to some audio when you are with people you know (e.g.,
     acquaintances, colleagues) at your home.",2
74,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",2
75,"Suppose it is a regular working day, you want to track the total amount of calories you consume and burn off during the day. ",2
76,"Suppose
     you want to take a click a photo when you are with people you are close to
     (e.g., friends, family members) at home",2
77,"Suppose you want to find a route to home while walking on a street with people you know (e.g., acquaintances, colleagues).",2
78,Suppose you want to check your social media when you are alone in a park.,2
79,Suppose you want to find a route to home while walking on a street.,2
80,"Suppose you want to control some devices/appliances (e.g., smart lights) when you are alone at home.",2
81,"Suppose
     you want to a view a text message when you are surrounded by people you
     know (e.g., acquaintances, colleagues) at your home.",2
82,"Suppose
     you want to a send an email when you are with a very close friend at a
     restaurant ",2
83,"Suppose you want to
take a click a photo when you are at Starbucks.",2
84,"Suppose you are alone at home, you want to take a break from studying/working so you decide to play an online/digital game.",2
85,Suppose you are at sitting at Starbucks and you want to play a digital/online game with some close friends.,2
86,"Suppose
     you want to a view a text message when you are with a very close friend at
     a restaurant ",2
87,"Suppose
     you are at starbucks and you realize today is the last day to pay one of
     your bills online.",2
88,"Suppose
     you have planned to meet a friend next week and you want put this on your
     calendar when you are alone at home",2
89,Suppose you are on a short vacation and you want to take a picture in front of an iconic monument when you are surrounded by many people.,2
90,"Suppose you want to call your mother for sharing an important
     update about your life  when you
     with people you know (e.g., acquaintances, colleagues) at a park",2
91,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded with people you are close to (e.g., friends, family members) at your home.",2
92,"Suppose
     you want to a send a text message when you are surrounded by people you
     know (e.g., acquaintances, colleagues) at a restaurant.",2
93,"Suppose you want to browse the internet when you are at home with people you know (e.g., acquaintances, colleagues).",2
94,Suppose you are at your gym and you want to track the amount of calories you have burnt your workout. ,2
95,"Suppose
     you want to a view a text message when you are alone at Starbucks.",2
96,"Suppose
     you want to a view a text message when you are surrounded by people you
     know (e.g., acquaintances, colleagues) at a restaurant.",2
97,"Suppose you want to a
send an email when you are at Starbucks.",2
98,Suppose you want to watch some video when you are alone at your home.,2
99,"Suppose
     you want to watch  some video when
     you are with people you know (e.g., acquaintances, colleagues) at
     Starbucks",2
100,"Suppose
     you want to listen to some audio when you are with your close friends in a
     park.",2
101,"Suppose
     you want to read a digital document when you are alone at home.",2
102,Suppose you want to call your mother for sharing an important update about your life  when you are alone at home ,1
103,"Suppose you are at a park, you have just read a book you loved and now you want to write a review for it to share with people you are close to (e.g., friends, family members)",1
104,"Suppose
     you want to set up a reminder when you are alone at your home.",1
105,"Suppose you want to a send a text message when you are surrounded with people you are close to (e.g., friends, family members) at your home.",1
106,"Suppose you are at a coffee shop, you have just read a book you loved and now you want to write a review for it to share with your close family and friends.",1
107,Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are with a very close friend at a park. ,1
108,"Suppose you want to browse the internet when you are at home with people you are close to (e.g., friends, family members)",1
109,"Suppose you want to call your mother for sharing an important
     update about your life when you are surrounded by people you know (e.g.,
     acquaintances, colleagues) at your home.",1
110,"Suppose
     you want to watch some video when you are with people you know (e.g.,
     acquaintances, colleagues) at your home.",1
111,"Suppose
     you want to a view a text message when you are surrounded with people you
     are close to (e.g., friends, family members) at your home.",1
112,"Suppose
     you want to purchase something (e.g., book, household items) online when
     you are with your close friends at a park.",1
113,"Suppose you want to browse the internet when you are with people you know (e.g., acquaintances, colleagues) at a restaurant.",1
114,"Suppose
     you want to listen to some audio when you are with people you know (e.g.,
     acquaintances, colleagues) in a park.
 ",1
115,"Suppose
     you want to a view a text message
     when you are walking with a very close friend on a street",1
116,Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are alone at Starbucks.,1
117,"Suppose you want to
find a route to a coffee shop when you are alone at home.",1
118,"Suppose you want to find a route to a coffee shop when you are
     at home with
     people you are close to (e.g., friends, family members)",1
119,"Suppose
     you want to a send an email when you are surrounded by people you know
     (e.g., acquaintances, colleagues) at a restaurant.",1
120,"Suppose
     you want to set up a reminder about something when you are with people you
     know (e.g., acquaintances, colleagues) at Starbucks.",1
121,Suppose you want to set up a reminder about something when you are at Starbucks with close friends.,1
122,Suppose you want to browse internet when you are with your close friends at a restaurant.,1
123,"Suppose
     you want to a send a text message when you are surrounded by people you
     know (e.g., acquaintances, colleagues) at your home.",1
124,"Suppose
     you want to a send a text message when you with people you know (e.g., acquaintances,
     colleagues) at a street.",1
125,"Suppose
     you want to purchase something online when you are with people you know
     (e.g., acquaintances, colleagues) at your home.",1
126,"Suppose you are at home with people you are close to (e.g., friends, family members) when you realize today is the last day to pay one of your bills online.",1
127,Suppose you want to a send a text message when you are alone at a street.,1
128,"Suppose
     you want to set up a reminder when you are at home with people you are
     close to (e.g., friends, family members).",1
129,"Suppose
     you want to find a route to home when you are at Starbucks with your close
     friends.",1
130,"Suppose
     you want to call your mother for sharing an important update about your
     life when you are alone at Starbucks.",1
131,Suppose you are at sitting in a park and you want to play a digital/online game.,1
