,scenario,count
0,"Suppose you want to watch some video when you are with people you know (e.g., acquaintances, colleagues) at Starbucks",11
1,Suppose you want to a send a text message when you are alone at home,9
2,"Suppose you want to read a digital document when you are at home with people you are close to (e.g., friends, family members).",9
3,Suppose you want to a send a text message when you are alone at Starbucks.,9
4,"Suppose you want to purchase something online when you are with people you know (e.g., acquaintances, colleagues) at a park.",9
5,Suppose you want to read a digital document when you are at Starbucks.,9
6,Suppose you want to purchase something online when you are with your close friends at Starbucks.,8
7,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded with people you are close to (e.g., friends, family members)at your home.",8
8,"Suppose you want to find a route to home when you are at Starbucks with people you know (e.g., acquaintances, colleagues).",8
9,Suppose you want to a send an email when you are walking with a very close friend on a street.,8
10,Suppose you want to check your social media status when you are at Starbucks.,8
11,"Suppose you want to listen to some audio when you with people you know (e.g., acquaintances, colleagues) at Starbucks",8
12,Suppose you are at sitting in a park and you want to play a digital/online game with some close friends.,8
13,Suppose you are at a park with your close friends and you realize today is the last day to pay one of your bills online.,8
14,Suppose you want to browse the internet when you are with your close friends at a park.,8
15,Suppose you want to browse the internet when you alone at a park.,8
16,"Suppose you want to read a digital document when you are in a park with people you know (e.g., acquaintances, colleagues).",8
17,Suppose you have planned to meet a friend next week and you want put this on your calendar when you are alone at home,8
18,Suppose you are at a park and you realize today is the last day to pay one of your bills online.,7
19,"Suppose you want to call your mother for sharing an important update about your life when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",7
20,Suppose you want to browse through one of your social media profiles when you are at your home.,7
21,Suppose you want to purchase something online when you are alone at Starbucks.,7
22,"Suppose you are at a park with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.",7
23,Suppose you want to read a digital document when you are at a park.,7
24,Suppose you want to purchase something online when you are alone at a park.,7
25,Suppose you want to a view a text message when you are alone at Starbucks.,7
26,"Suppose you are alone and relaxing at home, you have just read a new book that you loved and now you want a write a review for your close family and friends.",6
27,Suppose you are alone at home when you realize today is the last day to pay one of your bills online.,6
28,Suppose you want to call your mother for sharing an important update about your life when you are with a very close friend at a restaurant,6
29,Suppose you want to read a digital document when you are in a park surrounded by your close friends.,6
30,Suppose you want to listen to some audio when you are with your friends at Starbucks.,6
31,"Suppose you want to a send an email when you are surrounded by people you know (e.g., acquaintances, colleagues) your home.",6
32,"Suppose you want to take a click a photo when you with some people you know (e.g., acquaintances, colleagues) at home",6
33,Suppose you want to a send an email when you are alone at home,6
34,Suppose you are at sitting at Starbucks and you want to play a digital/online game.,6
35,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",6
36,Suppose you want to set up a reminder when you are at a park with close friends.,6
37,Suppose you want to take a click a photo when you are with your close friends and family members at Starbucks,6
38,"Suppose you want to set up a reminder when you are with people you know (e.g., acquaintances, colleagues) at your home.",6
39,Suppose you want to a view a text message when you are walking with a very close friend on a street,6
40,"Suppose you have planned to meet a friend next week and you want to put this on your calendar when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",6
41,"Suppose you want to listen to some audio when you are with people you know (e.g., acquaintances, colleagues) at your home.",6
42,Suppose you want to call your mother for sharing an important update about your life yourself when you are with a very close friend at a park.,6
43,Suppose you want to listen to some audio when you are with your close friends in a park.,6
44,Suppose you want to read a digital document when you are alone at home.,6
45,"Suppose you are at work with some people you know (e.g., acquaintances, colleagues) when you realize that you have to immediately pay one of your bills online.",6
46,"Suppose you want to a view a text message when you with people you know (e.g., acquaintances, colleagues) at a street.",6
47,"Suppose you want to a view a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",6
