,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
0,location_1:Laptop_Q11_feat2,94.39316239316238,location_1,Laptop_Q11_feat2,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario location,Home
1,location_1:Laptop_Q10_feat3,90.10256410256409,location_1,Laptop_Q10_feat3,How does Laptop provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario location,Home
2,location_1:Laptop_Q5_feat1,90.10256410256409,location_1,Laptop_Q5_feat1,What level of accuracy does your Laptop provide when executing the task?,It executes the task without any errors   ,Scenario location,Home
3,location_1:Laptop_Q9_feat3,83.66666666666666,location_1,Laptop_Q9_feat3,How does your Laptop help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario location,Home
114,Relationship_1:Laptop_Q5_feat1,83.66666666666666,Relationship_1,Laptop_Q5_feat1,What level of accuracy does your Laptop provide when executing the task?,It executes the task without any errors   ,Scenario relation,alone
113,Relationship_1:Laptop_Q10_feat3,77.23076923076921,Relationship_1,Laptop_Q10_feat3,How does Laptop provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,alone
4,location_1:Laptop_Q3_feat3,75.08547008547006,location_1,Laptop_Q3_feat3,Which  aspects of Laptop makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario location,Home
112,Relationship_1:Laptop_Q11_feat2,72.94017094017093,Relationship_1,Laptop_Q11_feat2,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,alone
5,location_1:Laptop_Q8_feat5,70.7948717948718,location_1,Laptop_Q8_feat5,What level of personalized communication does your Laptop provide while performing this task?,Personalization is not essential to me in using this device to perform this task or is not provided by the device  ,Scenario location,Home
6,location_1:Laptop_Q1_feat2,66.50427350427347,location_1,Laptop_Q1_feat2,Which of the following type of interactions do you use while executing a command on Laptop,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,Home
115,Relationship_1:Laptop_Q9_feat3,66.50427350427347,Relationship_1,Laptop_Q9_feat3,How does your Laptop help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario relation,alone
7,location_1:Laptop_Q3_feat2,66.50427350427347,location_1,Laptop_Q3_feat2,Which  aspects of Laptop makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario location,Home
116,Relationship_1:Laptop_Q3_feat3,64.35897435897435,Relationship_1,Laptop_Q3_feat3,Which  aspects of Laptop makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario relation,alone
121,Relationship_1:Laptop_Q2_feat1,62.213675213675224,Relationship_1,Laptop_Q2_feat1,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?",I use/view another application using touch-based input,Scenario relation,alone
224,Relationship_3:Laptop_Q11_feat2,62.213675213675224,Relationship_3,Laptop_Q11_feat2,Which of the following design components on your Laptop help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,weak ties
226,Relationship_3:Laptop_Q5_feat1,62.213675213675224,Relationship_3,Laptop_Q5_feat1,What level of accuracy does your Laptop provide when executing the task?,It executes the task without any errors   ,Scenario relation,weak ties
8,location_1:Laptop_Q1_feat4,62.213675213675224,location_1,Laptop_Q1_feat4,Which of the following type of interactions do you use while executing a command on Laptop?,Text-based interaction using physical keyboard  ,Scenario location,Home
120,Relationship_1:Laptop_Q1_feat4,60.068376068376075,Relationship_1,Laptop_Q1_feat4,Which of the following type of interactions do you use while executing a command on Laptop?,Text-based interaction using physical keyboard  ,Scenario relation,alone
225,Relationship_3:Laptop_Q10_feat3,60.068376068376075,Relationship_3,Laptop_Q10_feat3,How does Laptop provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,weak ties
562,location_2:Laptop_Q5_feat1,60.068376068376075,location_2,Laptop_Q5_feat1,What level of accuracy does your Laptop provide when executing the task?,It executes the task without any errors   ,Scenario location,"Semi private places (resturants, coffee shop etc)"
9,location_1:Laptop_Q2_feat1,57.92307692307693,location_1,Laptop_Q2_feat1,"How do you multitask (i.e.,use other functionalities) on Laptop while executing this task?",I use/view another application using touch-based input,Scenario location,Home
12,location_1:Laptop_Q7_feat5,57.92307692307693,location_1,Laptop_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Laptop?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario location,Home
119,Relationship_1:Laptop_Q3_feat2,57.92307692307693,Relationship_1,Laptop_Q3_feat2,Which  aspects of Laptop makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario relation,alone
122,Relationship_1:Laptop_Q9_feat2,57.92307692307693,Relationship_1,Laptop_Q9_feat2,How does your Laptophelp you understand the features that you use to perform this task?  ,Through an interactive help/search menu that answers my questions on the features of the device as I use them,Scenario relation,alone
11,location_1:Laptop_Q4_feat3,57.92307692307693,location_1,Laptop_Q4_feat3,Which aspects of mobility does Laptop  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device,Scenario location,Home
