,features,Importance,scen_feat,main_features,Affordance_Question,Affordance_Answer,scen_Question,scen_Answer
0,Relationship_1:Smart_Watch_Q4_feat1,64.27777777777777,Relationship_1,Smart_Watch_Q4_feat1,Which aspects of mobility does Smart_Watch  provide as you perform this task?,I can move around while performing the task   ,Scenario relation,alone
115,location_3:Smart_Watch_Q5_feat1,64.27777777777777,location_3,Smart_Watch_Q5_feat1,What level of accuracy does your Smart_Watch provide when executing the task?,It executes the task without any errors   ,Scenario location,"Public (park, street etc)"
114,location_3:Smart_Watch_Q11_feat2,64.27777777777777,location_3,Smart_Watch_Q11_feat2,Which of the following design components on your Smart_Watch help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario location,"Public (park, street etc)"
113,location_3:Smart_Watch_Q9_feat3,64.27777777777777,location_3,Smart_Watch_Q9_feat3,How does your Smart_Watch help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario location,"Public (park, street etc)"
2,Relationship_1:Smart_Watch_Q11_feat2,64.27777777777777,Relationship_1,Smart_Watch_Q11_feat2,Which of the following design components on your Smart_Watch help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario relation,alone
117,location_3:Smart_Watch_Q1_feat2,61.80555555555557,location_3,Smart_Watch_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Watch,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,"Public (park, street etc)"
116,location_3:Smart_Watch_Q10_feat2,61.80555555555557,location_3,Smart_Watch_Q10_feat2,How does Smart_Watch provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario location,"Public (park, street etc)"
5,Relationship_1:Smart_Watch_Q1_feat2,61.80555555555557,Relationship_1,Smart_Watch_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Watch,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario relation,alone
1,Relationship_1:Smart_Watch_Q9_feat3,59.33333333333334,Relationship_1,Smart_Watch_Q9_feat3,How does your Smart_Watch help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario relation,alone
3,Relationship_1:Smart_Watch_Q5_feat1,56.861111111111114,Relationship_1,Smart_Watch_Q5_feat1,What level of accuracy does your Smart_Watch provide when executing the task?,It executes the task without any errors   ,Scenario relation,alone
4,Relationship_1:Smart_Watch_Q10_feat2,56.861111111111114,Relationship_1,Smart_Watch_Q10_feat2,How does Smart_Watch provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses,Scenario relation,alone
6,Relationship_1:Smart_Watch_Q10_feat3,56.861111111111114,Relationship_1,Smart_Watch_Q10_feat3,How does Smart_Watch provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario relation,alone
229,location_2:Smart_Watch_Q1_feat2,56.861111111111114,location_2,Smart_Watch_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Watch,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario location,"Semi private places (resturants, coffee shop etc)"
7,Relationship_1:Smart_Watch_Q3_feat3,54.3888888888889,Relationship_1,Smart_Watch_Q3_feat3,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario relation,alone
112,location_3:Smart_Watch_Q4_feat1,54.3888888888889,location_3,Smart_Watch_Q4_feat1,Which aspects of mobility does Smart_Watch  provide as you perform this task?,I can move around while performing the task   ,Scenario location,"Public (park, street etc)"
119,location_3:Smart_Watch_Q3_feat3,54.3888888888889,location_3,Smart_Watch_Q3_feat3,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario location,"Public (park, street etc)"
118,location_3:Smart_Watch_Q10_feat3,54.3888888888889,location_3,Smart_Watch_Q10_feat3,How does Smart_Watch provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario location,"Public (park, street etc)"
121,location_3:Smart_Watch_Q7_feat5,51.91666666666668,location_3,Smart_Watch_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Watch?,Building trust is not essential for using this device for this task or is not provided by the device ,Scenario location,"Public (park, street etc)"
120,location_3:Smart_Watch_Q2_feat5,51.91666666666668,location_3,Smart_Watch_Q2_feat5,"How do you multitask (i.e.,use other functionalities) on Smart_Watch while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  ,Scenario location,"Public (park, street etc)"
453,Relationship_2:Smart_Watch_Q1_feat2,51.91666666666668,Relationship_2,Smart_Watch_Q1_feat2,Which of the following type of interactions do you use while executing a command on Smart_Watch,"Touch-based interaction (e.g, through scrolling, tapping)  ",Scenario relation,strong ties
231,location_2:Smart_Watch_Q3_feat3,51.91666666666668,location_2,Smart_Watch_Q3_feat3,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  ,Scenario location,"Semi private places (resturants, coffee shop etc)"
227,location_2:Smart_Watch_Q5_feat1,49.444444444444436,location_2,Smart_Watch_Q5_feat1,What level of accuracy does your Smart_Watch provide when executing the task?,It executes the task without any errors   ,Scenario location,"Semi private places (resturants, coffee shop etc)"
122,location_3:Smart_Watch_Q3_feat2,49.444444444444436,location_3,Smart_Watch_Q3_feat2,Which  aspects of Smart_Watch makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  ,Scenario location,"Public (park, street etc)"
11,Relationship_1:Smart_Watch_Q10_feat1,49.444444444444436,Relationship_1,Smart_Watch_Q10_feat1,How does Smart_Watch provide feedback or respond to your actions as you execute the task,"Through lights, vibrations   ",Scenario relation,alone
230,location_2:Smart_Watch_Q10_feat3,46.97222222222222,location_2,Smart_Watch_Q10_feat3,How does Smart_Watch provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   ,Scenario location,"Semi private places (resturants, coffee shop etc)"
226,location_2:Smart_Watch_Q11_feat2,46.97222222222222,location_2,Smart_Watch_Q11_feat2,Which of the following design components on your Smart_Watch help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  ",Scenario location,"Semi private places (resturants, coffee shop etc)"
449,Relationship_2:Smart_Watch_Q9_feat3,46.97222222222222,Relationship_2,Smart_Watch_Q9_feat3,How does your Smart_Watch help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   ,Scenario relation,strong ties
451,Relationship_2:Smart_Watch_Q5_feat1,46.97222222222222,Relationship_2,Smart_Watch_Q5_feat1,What level of accuracy does your Smart_Watch provide when executing the task?,It executes the task without any errors   ,Scenario relation,strong ties
