,features,Importance,interaction_a,main_features,Question,Answer option
0,location_1:Smart_Speaker_Q6_feat1,0.4294736842105264,location_1,Smart_Speaker_Q6_feat1,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task
6,location_1:Smart_Speaker_Q7_feat5,0.1895884773662551,location_1,Smart_Speaker_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,Building trust is not essential for using this device for this task or is not provided by the device 
12,Relationship_1:Smart_Speaker_Q10_feat2,0.09217545209696013,Relationship_1,Smart_Speaker_Q10_feat2,How does Smart_Speaker provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses
18,Relationship_3:Smart_Speaker_Q7_feat3,0.0890241545893722,Relationship_3,Smart_Speaker_Q7_feat3,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,I enables me to control how it executes this task  
24,Relationship_2:Smart_Speaker_Q8_feat2,0.07982672731210733,Relationship_2,Smart_Speaker_Q8_feat2,What level of personalized communication does your Smart_Speaker provide while performing this task?,"It customizes the features based on my current context and past interactions (e.g., sorting notifications by relevance)  "
7,Relationship_3:Smart_Speaker_Q7_feat5,0.02419545105643764,Relationship_3,Smart_Speaker_Q7_feat5,Which of the following features help you in reaching the desired level of trust to perform this task on Smart_Speaker?,Building trust is not essential for using this device for this task or is not provided by the device 
30,Relationship_2:Smart_Speaker_Q5_feat3,0.023979420243433767,Relationship_2,Smart_Speaker_Q5_feat3,What level of accuracy does your Smart_Speaker provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
36,location_3:Smart_Speaker_Q6_feat2,0.0237662698412698,location_3,Smart_Speaker_Q6_feat2,When does your Smart_Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.
42,location_3:Smart_Speaker_Q12_feat3,0.02355594886922336,location_3,Smart_Speaker_Q12_feat3,Which of these maintenance features in Smart_Speaker affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. 
48,location_2:Q9_feat3,0.018393665158371042,location_2,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   
54,location_2:Q2_feat3,0.004496229260935149,location_2,Q2_feat3,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  
60,location_2:Q6_feat3,0.001471493212669581,location_2,Q6_feat3,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  
66,Relationship_1:Q11_feat2,5.302678243849759e-05,Relationship_1,Q11_feat2,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them"
450,location_1:Smart_Speaker_Q3_feat2,0.0,location_1,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
451,location_2:Smart_Speaker_Q3_feat2,0.0,location_2,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
452,location_3:Smart_Speaker_Q3_feat2,0.0,location_3,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
453,Relationship_1:Smart_Speaker_Q3_feat2,0.0,Relationship_1,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
457,location_2:Smart_Speaker_Q3_feat3,0.0,location_2,Smart_Speaker_Q3_feat3,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
454,Relationship_2:Smart_Speaker_Q3_feat2,0.0,Relationship_2,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
455,Relationship_3:Smart_Speaker_Q3_feat2,0.0,Relationship_3,Smart_Speaker_Q3_feat2,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
456,location_1:Smart_Speaker_Q3_feat3,0.0,location_1,Smart_Speaker_Q3_feat3,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
448,Relationship_2:Smart_Speaker_Q3_feat1,0.0,Relationship_2,Smart_Speaker_Q3_feat1,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.
458,location_3:Smart_Speaker_Q3_feat3,0.0,location_3,Smart_Speaker_Q3_feat3,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
459,Relationship_1:Smart_Speaker_Q3_feat3,0.0,Relationship_1,Smart_Speaker_Q3_feat3,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
460,Relationship_2:Smart_Speaker_Q3_feat3,0.0,Relationship_2,Smart_Speaker_Q3_feat3,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
461,Relationship_3:Smart_Speaker_Q3_feat3,0.0,Relationship_3,Smart_Speaker_Q3_feat3,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
462,location_1:Smart_Speaker_Q3_feat4,0.0,location_1,Smart_Speaker_Q3_feat4,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  
449,Relationship_3:Smart_Speaker_Q3_feat1,0.0,Relationship_3,Smart_Speaker_Q3_feat1,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.
445,location_2:Smart_Speaker_Q3_feat1,0.0,location_2,Smart_Speaker_Q3_feat1,Which  aspects of Smart_Speaker makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.
