,features,Importance,interaction_a,main_features,Question,Answer option
0,location_1:Tablet_Q1_feat2,0.313005268155649,location_1,Tablet_Q1_feat2,Which of the following type of interactions do you use while executing a command on Tablet,"Touch-based interaction (e.g, through scrolling, tapping)  "
6,location_2:Tablet_Q3_feat2,0.15335707861049594,location_2,Tablet_Q3_feat2,Which  aspects of Tablet makes it easy for you to use it for this task?,The device provides few and simple steps to complete the task  
12,location_3:Tablet_Q5_feat1,0.14558173610946973,location_3,Tablet_Q5_feat1,What level of accuracy does your Tablet provide when executing the task?,It executes the task without any errors   
18,location_2:Tablet_Q4_feat1,0.09385136837837772,location_2,Tablet_Q4_feat1,Which aspects of mobility does Tablet  provide as you perform this task?,I can move around while performing the task   
24,location_1:Q5_feat1,0.05457173049320137,location_1,Q5_feat1,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   
30,location_2:Tablet_Q4_feat3,0.0519582937978844,location_2,Tablet_Q4_feat3,Which aspects of mobility does Tablet  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device
36,Relationship_2:Tablet_Q5_feat6,0.022744360593468325,Relationship_2,Tablet_Q5_feat6,What level of accuracy does your Tablet provide when executing the task,Level of  accuracy does not matter to me while using this device for this task or is not provided by the device  
42,location_3:Tablet_Q5_feat2,0.022241722790297874,location_3,Tablet_Q5_feat2,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,The device(s) can make errors sometimes  
48,location_1:Tablet_Q9_feat3,0.021531416175075167,location_1,Tablet_Q9_feat3,How does your Tablet help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
54,location_1:Tablet_Q3_feat3,0.011438564843008665,location_1,Tablet_Q3_feat3,Which  aspects of Tablet makes it easy for you to use it for this task?,The device displays any task related information (e.g response) on a screen  
60,Relationship_1:Q10_feat6,0.010592374642497076,Relationship_1,Q10_feat6,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"As long as feedback is unambiguous and easy to follow, mode of feedback does not matter to me.   "
31,Relationship_1:Tablet_Q4_feat3,0.010144609544025796,Relationship_1,Tablet_Q4_feat3,Which aspects of mobility does Tablet  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device
66,Relationship_1:Q10_feat7,0.009761794089534285,Relationship_1,Q10_feat7,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,The way in which a device provides feedback or responds to my actions does not matter to me  for this task
78,location_3:Q3_feat3,0.008119361554476059,location_3,Q3_feat3,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  "
84,Relationship_1:Q2_feat2,0.008119361554476059,Relationship_1,Q2_feat2,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",Use/view another application through voice-based input 
72,location_1:Q12_feat3,0.008119361554476059,location_1,Q12_feat3,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Ease of recovery of data and task related information in case of any hardware/software malfunction  
90,Relationship_3:Q13_feat1,0.008119361554476059,Relationship_3,Q13_feat1,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Physical hardware (e.g., keyboard, screen, headphones, speakers, storage space)  "
97,Relationship_1:Q9_feat2,0.0060895211658570465,Relationship_1,Q9_feat2,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   
96,location_2:Q9_feat2,0.0060895211658570465,location_2,Q9_feat2,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   
102,location_3:Q3_feat4,0.00548056904927134,location_3,Q3_feat4,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. 
108,Relationship_1:Q13_feat4,0.0047362942401110355,Relationship_1,Q13_feat4,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.
114,Relationship_3:Q12_feat2,0.003914692178050957,Relationship_3,Q12_feat2,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?,Need and effect of any software updates while/before performing the task  
120,Relationship_2:Q12_feat1,0.0030447605829285237,Relationship_2,Q12_feat1,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?</,Amount of battery life and impact of performing the task on battery life   
126,Relationship_3:Q1_feat1,0.0030447605829285232,Relationship_3,Q1_feat1,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  
132,Relationship_3:Q6_feat1,0.002783781104391793,Relationship_3,Q6_feat1,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Only at the beginning for providing first set of commands or information  
127,Relationship_1:Q1_feat1,0.002537300485773769,Relationship_1,Q1_feat1,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  
138,Relationship_3:Q1_feat2,0.0024037583549435765,Relationship_3,Q1_feat2,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  "
103,Relationship_3:Q3_feat4,0.0022053529034243933,Relationship_3,Q3_feat4,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. 
144,location_1:Q1_feat4,0.0010149201943095078,location_1,Q1_feat4,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard 
150,Relationship_1:Q11_feat3,0.0007929320000739793,Relationship_1,Q11_feat3,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions"
156,location_2:Q4_feat1,0.0007104441360166582,location_2,Q4_feat1,What aspects of mobility do you expect to have for performing this task? ,Being able to move around while performing the task   
162,location_3:Q9_feat3,0.0006343251214434412,location_3,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   
168,Relationship_1:Q9_feat1,0.000580333160664757,Relationship_1,Q9_feat1,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A tooltip that explains the functionality of a widget on the device  
79,location_1:Q3_feat3,0.0003872721794075835,location_1,Q3_feat3,Which aspects of any of the device(s) would make it easier for you to use them for this task?,"The device(s) should be able to display any task related information (e.g, response) on a screen  "
174,location_3:Q8_feat5,0.000291696953656437,location_3,Q8_feat5,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device
461,Relationship_3:Tablet_Q3_feat6,0.0,Relationship_3,Tablet_Q3_feat6,Which  aspects of Tablet makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
460,Relationship_2:Tablet_Q3_feat6,0.0,Relationship_2,Tablet_Q3_feat6,Which  aspects of Tablet makes it easy for you to use it for this task?,Ease of use does not hold any relevance for me while using this device  for this task or is not provided by the device  
369,Relationship_1:Q11_feat2,0.0,Relationship_1,Q11_feat2,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them"
462,location_1:Tablet_Q5_feat3,0.0,location_1,Tablet_Q5_feat3,What level of accuracy does your Tablet provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
463,location_2:Tablet_Q5_feat3,0.0,location_2,Tablet_Q5_feat3,What level of accuracy does your Tablet provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
464,location_3:Tablet_Q5_feat3,0.0,location_3,Tablet_Q5_feat3,What level of accuracy does your Tablet provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
465,Relationship_1:Tablet_Q5_feat3,0.0,Relationship_1,Tablet_Q5_feat3,What level of accuracy does your Tablet provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
466,Relationship_2:Tablet_Q5_feat3,0.0,Relationship_2,Tablet_Q5_feat3,What level of accuracy does your Tablet provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
467,Relationship_3:Tablet_Q5_feat3,0.0,Relationship_3,Tablet_Q5_feat3,What level of accuracy does your Tablet provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
468,location_1:Tablet_Q5_feat4,0.0,location_1,Tablet_Q5_feat4,What level of accuracy does your Tablet provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  "
