,features,Importance,Question,Answer option
0,Smart Speaker_Q10_feat2,0.16006678268605318,How does Smart Speaker provide feedback or respond to your actions as you execute the task?,Through audio/voice based notifications/responses
1,Smart Speaker_Q1_feat1,0.14148490351182247,Which of the following type of interactions do you use while executing a command on Smart Speaker,Voice-based interaction  
2,Smart Speaker_Q13_feat4,0.12663728871728874,Which of the additional artifacts do you connect/download on your Smart Speaker,The ability to connect/download an additional things does not matter to me while using the device  for this task or is not provided by the device  
3,Smart Speaker_Q9_feat4,0.08356587335629646,How does your Smart Speaker help you understand the features that you use to perform this task,Through a voice assistant that helps me to understand how to use its features to perform the task 
4,Smart Speaker_Q6_feat1,0.08113528669780408,When does your Smart Speaker give you an option of providing or changing any task related information to perform this task?,Only at the beginning for providing first set of commands or information for performing the task
5,Smart Speaker_Q12_feat5,0.0787913043478261,Which of these maintenance features in Smart Speaker affect you as you perform this task on it?,I do not consider/evaluate maintenance features as I use this device for this task or is not provided by the device  
6,Smart Speaker_Q6_feat2,0.06128571428571428,When does your Smart Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me to provide additional information when any instructions are unclear or missing.
7,Smart Speaker_Q4_feat3,0.04776485555103978,Which aspects of mobility does Smart Speaker  provide as you perform this task?,Mobility of this device does not matter to me  for this task or is not provided by the device
8,Smart Speaker_Q8_feat1,0.03332539682539682,What level of personalized communication does your Smart Speaker provide while performing this task?,The device communicates with me through informal/human-like responses or notifications
9,Smart Speaker_Q3_feat4,0.024875175315120547,Which  aspects of Smart Speaker makes it easy for you to use it for this task?,I can hear any task related information as an audio response from the device  
10,Q11_feat3,0.02115069468282449,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"In case of no screen, the device(s) should provide me needed information as voice-based instructions"
11,Smart Speaker_Q5_feat1,0.01693486590038315,What level of accuracy does your Smart Speaker provide when executing the task?,It executes the task without any errors   
12,Smart Speaker_Q4_feat1,0.014852531492013415,Which aspects of mobility does Smart Speaker  provide as you perform this task?,I can move around while performing the task   
13,Smart Speaker_Q2_feat5,0.012262443438914026,"How do you multitask (i.e.,use other functionalities) on Smart Speaker while executing this task?",Being able to do something else simultaneously on the device does not matter to me  for this task or is not provided by the device  
14,Smart Speaker_Q11_feat2,0.011987104706353282,Which of the following design components on your Smart Speaker help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  "
15,Smart Speaker_Q7_feat5,0.011969254106680222,Which of the following features help you in reaching the desired level of trust to perform this task on Smart Speaker?,Building trust is not essential for using this device for this task or is not provided by the device 
16,Smart Speaker_Q5_feat3,0.011573140096618346,What level of accuracy does your Smart Speaker provide when executing the task?,"The device makes some errors, but it tries to correct itself by learning from my previous actions or more interactions with me.  "
17,Smart Speaker_Q5_feat4,0.00946500464234212,What level of accuracy does your Smart Speaker provide when executing the task,"The device makes some errors only when multitasking (e.g., while listening to music on voice-assistant it might not completely understand another command)  "
18,Q10_feat7,0.0054499748617395675,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,The way in which a device provides feedback or responds to my actions does not matter to me  for this task
19,Smart Speaker_Q3_feat1,0.004947761194029867,Which  aspects of Smart Speaker makes it easy for you to use it for this task?,It is easy to find and understand the relevant features of the device to complete this task.
20,Smart Speaker_Q11_feat1,0.00481748712998714,Which of the following design components on your Smart Speaker help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    "
21,Smart Speaker_Q12_feat3,0.004796172089770743,Which of these maintenance features in Smart Speaker affect you as you perform this task on it,Ease of recovery of data and task related information in case of any hardware/software malfunction. 
22,Smart Speaker_Q2_feat1,0.0045683447749809095,"How do you multitask (i.e.,use other functionalities) on Smart Speaker while executing this task?",I use/view another application using touch-based input
23,Q6_feat3,0.002638724913685565,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  
24,Smart Speaker_Q11_feat5,0.0024406409163442422,Which of the following design components on your Smart Speaker help you to develop an intuition before you decide how to complete this task,I do not need the device to help me in deciding the best way to perform a task or is not provided by the device  
25,Smart Speaker_Q10_feat7,0.002419545105643764,How does Smart Speaker provide feedback or respond to your actions as you execute the task?,The way in which this device provides feedback or responds to my actions does not affect the way I use it  for this task or is not provided by the device  
26,Smart Speaker_Q9_feat3,0.002397942024343377,How does your Smart Speaker help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
27,Q8_feat5,0.002371117535333222,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,Personalization or customizability  is not essential for me performing this task on any device
28,Smart Speaker_Q6_feat3,0.0023478897913680515,When does your Smart Speaker give you an option of providing or changing any task related information to perform this task?,The device prompts me for input and validation throughout the entire execution of task.
29,Q12_feat1,0.002277310924369748,Which of these maintenance features affect your decision to use any of the device(s) to perform this task?</,Amount of battery life and impact of performing the task on battery life   
30,Q2_feat3,0.0020202296988258302,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  
31,Q1_feat2,0.001994877752796267,Which of the following type of interactions would you like to use to perform this task?,"Touch-based interaction (e.g, through scrolling, tapping)  "
32,Q9_feat6,0.0016349924585218705,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,The level of assistance provided by a  device to help me understand its features while I am executing this task does not matter. 
33,Q10_feat1,0.0012262443438914026,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,"Through lights, vibrations  "
34,Q3_feat6,0.00044914869661659667,Which aspects of any of the device(s) would make it easier for you to use them for this task?,Ease of use does not hold any relevance for me with respect to this task  
35,Q6_feat2,0.0003406234288587228,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should prompt me for providing more information when instructions are unclear or missing.  
36,Q7_feat5,0.00033721719457013605,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  
37,Q9_feat2,0.00032699849170437367,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,An interactive help/search menu that can answer my questions about the features of the device as I use them   
38,Q10_feat3,0.00031859933579041764,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices
39,Q5_feat1,0.00020437405731523384,What level of accuracy do you expect any of the device(s) to achieve for executing this task?,It should be able to execute the task without any errors   
40,Q3_feat2,0.00014342039109841104,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.
41,Q1_feat7,0.00012416167416451799,Which of the following type of interactions would you like to use to perform this task?,The input modality does not matter to me  
42,Q3_feat4,0.00012262443438913984,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should be able to provide any task related information as an audio response. 
43,Q13_feat4,6.619402666080129e-05,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.
44,Q10_feat2,4.798351182148316e-05,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through audio/voice based notifications/responses   
45,location_2,1.9230391779394754e-05,Scenario location,"Semi private places (resturants, coffee shop etc)"
46,Relationship_1,1.2986586812257056e-05,Scenario relation,alone
47,Q3_feat1,9.561902295448376e-06,Which aspects of any of the device(s) would make it easier for you to use them for this task?,It should be easy to find and understand the relevant features of the device(s) to complete the given task.  
48,Q1_feat1,0.0,Which of the following type of interactions would you like to use to perform this task?,Voice-based interaction  
49,Q1_feat3,0.0,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction with a digital pen/Stylus  
