,features,Importance,interaction_a,main_features,Question,Answer option
0,location_1:Desktop_Computer_Q9_feat3,0.4598704902867715,location_1,Desktop_Computer_Q9_feat3,How does your Desktop_Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
6,Relationship_2:Desktop_Computer_Q11_feat1,0.2034042553191488,Relationship_2,Desktop_Computer_Q11_feat1,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"Information is presented in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used)    "
1,Relationship_3:Desktop_Computer_Q9_feat3,0.09234347194513486,Relationship_3,Desktop_Computer_Q9_feat3,How does your Desktop_Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
12,Relationship_1:Desktop_Computer_Q10_feat3,0.04806545238476121,Relationship_1,Desktop_Computer_Q10_feat3,How does Desktop_Computer provide feedback or respond to your actions as you execute the task?,Through text notifications/responses on screen of the device   
2,location_3:Desktop_Computer_Q9_feat3,0.04729331660348,location_3,Desktop_Computer_Q9_feat3,How does your Desktop_Computer help you understand the features that you use to perform this task?  ,Through an graphic icon that conveys the meaning of a widget on the device   
18,Relationship_2:Desktop_Computer_Q9_feat1,0.024220761941733282,Relationship_2,Desktop_Computer_Q9_feat1,How does your Desktop_Computer help you understand the features that you use to perform this task,Through a tooltip that explains the functionality of a widget on the device.
24,Relationship_3:Desktop_Computer_Q11_feat2,0.023957492790192957,Relationship_3,Desktop_Computer_Q11_feat2,Which of the following design components on your Desktop_Computer help you to develop an intuition before you decide how to complete this task?,"The design of icons, buttons and other tools is such that I can easily understand their purpose and how to use them.  "
30,location_2:Q1_feat4,0.016367590390558427,location_2,Q1_feat4,Which of the following type of interactions would you like to use to perform this task?,Text-based interaction using physical keyboard 
48,location_2:Q13_feat1,0.012730348081545445,location_2,Q13_feat1,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Physical hardware (e.g., keyboard, screen, headphones, speakers, storage space)  "
42,location_1:Q9_feat6,0.012730348081545445,location_1,Q9_feat6,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,The level of assistance provided by a  device to help me understand its features while I am executing this task does not matter. 
36,location_1:Q9_feat3,0.012730348081545445,location_1,Q9_feat3,Which of the following do you expect to have in any of your device(s) to help you understand the features as you use them to perform this task?,A graphic icon that conveys the meaning of a widget on the device   
54,Relationship_2:Q2_feat3,0.009547761061159085,Relationship_2,Q2_feat3,"How would you like to multitask (i.e., use/view other applications) on any device of your choice while executing this task?",The modality of input (text- or voice-based) does not matter as long as I am able to use another application  
60,Relationship_3:Q8_feat3,0.008101130597347106,Relationship_3,Q8_feat3,What sort of personalization or customizability do you expect to have from any your device(s) while performing this task?,"Based on my current activities and surroundings device(s) should recommend  additional/alternative actions to perform this task(e.g., recommend multiple ways of doing a task) "
66,Relationship_1:Q10_feat3,0.0063651740407727276,Relationship_1,Q10_feat3,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices
67,Relationship_3:Q10_feat3,0.006365174040772722,Relationship_3,Q10_feat3,How would you expect any of your  device(s)  to provide feedback or respond to your actions as you perform this task?,Through text notifications/responses on screen of any of the devices
72,location_1:Q13_feat4,0.004243449360515148,location_1,Q13_feat4,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,The ability to connect/download an additional things does not matter to me  for this task.
78,Relationship_3:Q13_feat2,0.003027431928883057,Relationship_3,Q13_feat2,Which of the following would you like to be able to additionally connect/download to/on your device(s) to execute the task? ,"Software application (e.g, apps on your cellphone to visualize task related information from activity trackers, plugins)  "
84,location_1:Q6_feat3,0.002727931731759743,location_1,Q6_feat3,When would you desire to have an option of providing or changing any task related information on any of your device(s) while performing this task?,Device(s) should give me option of providing or changing any information through the entire execution of the task.  
90,location_1:Q3_feat2,0.0014688863171013755,location_1,Q3_feat2,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.
96,location_3:Q11_feat1,0.0012402770358063704,location_3,Q11_feat1,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Presentation of information is in an optimized and adaptive manner so as to reduce the cognitive burden on me (e.g., by changing the layout of the menu according to how often menu items are used )  "
102,location_2:Q7_feat5,0.001212414103004324,location_2,Q7_feat5,Which of the following features would help you in developing trust on any of your device(s) to be able to perform this task on it ? ,Building trust is not essential for me while performing this task on any device  
108,Relationship_3:Q11_feat2,0.0010608623401287892,Relationship_3,Q11_feat2,Which of the following design features would help you develop an intuition before you decide how to complete this task on any of the  device(s)?,"Icons, buttons and other tools should be designed in such a way that I can easily understand their purpose and how to use them"
91,location_2:Q3_feat2,0.0006988916006987736,location_2,Q3_feat2,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.
92,Relationship_1:Q3_feat2,0.0002267399356333456,Relationship_1,Q3_feat2,Which aspects of any of the device(s) would make it easier for you to use them for this task?,The device(s) should provide few and simple steps to complete the task.
